Class,Order,Family,Genus,species,common_name,rl_id,rl_binomial,fishbase_id,fishbase_binomial
Actinopteri,Gobiiformes,Gobiidae,Glossogobius,giuris,Tank goby,166533,Glossogobius giuris,4833,Glossogobius giuris
Actinopteri,Perciformes,Monodactylidae,Monodactylus,argenteus,Silver moony,166925,Monodactylus argenteus,5807,Monodactylus argenteus
Actinopteri,Mugiliformes,Mugilidae,Planiliza,alata,Diamond mullet,95567920,Planiliza alata,7861,Planiliza alata
Actinopteri,Mugiliformes,Mugilidae,Crenimugil,seheli,Bluespot mullet,NULL,NULL,5659,Crenimugil seheli
Actinopteri,Perciformes,Sparidae,Rhabdosargus,thorpei,Bigeye stumpnose,170164,Rhabdosargus thorpei,7936,Rhabdosargus thorpei
Actinopteri,Perciformes,Cottidae,Cottus,asper,Prickly sculpin,202650,Cottus asper,4062,Cottus asper
Actinopteri,Cypriniformes,Catostomidae,Catostomus,occidentalis,Sacramento sucker,62195,Catostomus occidentalis,2974,Catostomus occidentalis
Actinopteri,Cypriniformes,Leuciscidae,Pogonichthys,macrolepidotus,Splittail,17875,Pogonichthys macrolepidotus,2937,Pogonichthys macrolepidotus
Actinopteri,Gobiiformes,Gobiidae,Acanthogobius,flavimanus,Yellowfin goby,181137,Acanthogobius flavimanus,3832,Acanthogobius flavimanus
Actinopteri,Osmeriformes,Osmeridae,Hypomesus,transpacificus,Delta smelt,10722,Hypomesus transpacificus,2696,Hypomesus transpacificus
Actinopteri,Perciformes,Cottidae,Leptocottus,armatus,Pacific staghorn sculpin,202670,Leptocottus armatus,4112,Leptocottus armatus
Actinopteri,Perciformes,Ammodytidae,Ammodytes,hexapterus,Pacific sand lance,NULL,NULL,3822,Ammodytes hexapterus
Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,stelleri,Whitespotted greenling,NULL,NULL,4035,Hexagrammos stelleri
Actinopteri,Perciformes,Agonidae,Pallasina,barbata,Tubenose poacher,NULL,NULL,4169,Pallasina barbata
Actinopteri,Osmeriformes,Osmeridae,Hypomesus,pretiosus,Surf smelt,NULL,NULL,255,Hypomesus pretiosus
Actinopteri,Perciformes,Hemitripteridae,Blepsias,cirrhosus,Silverspotted sculpin,NULL,NULL,4054,Blepsias cirrhosus
Actinopteri,Perciformes,Lumpenidae,Lumpenus,sagitta,Snake prickleback,NULL,NULL,3790,Lumpenus sagitta
Actinopteri,Gadiformes,Gadidae,Microgadus,proximus,Pacific tomcod,NULL,NULL,1879,Microgadus proximus
