Scientific name,Common name,Overall category,Category triggered by rate of population reduction (Criterion A),Optimistic decline10years,Pessimistic decline10years,Median decline10years,Optimistic category10years,Pessimistic category10years,Median category10years,Revised optimistic category10years,Revised pessimistic category10years,Revised median category10years,Optimistic decline3gens,Pessimistic decline3gens,Median decline3gens,Revised optimistic category3gens,Revised pessimistic category3gens,Revised median category3gens,Optimistic category3gens,Pessimistic category3gens,Median category3gens
Quelea quelea,Red-billed Quelea,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes afer,Yellow-crowned Bishop,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes aureus,Golden-backed Bishop,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes gierowii,Black Bishop,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes franciscanus,Northern Red Bishop,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes ardens,Red-collared Widowbird,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes laticauda,Red-cowled Widowbird,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes diadematus,Fire-fronted Bishop,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes hordeaceus,Black-winged Bishop,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes nigroventris,Zanzibar Red Bishop,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes orix,Southern Red Bishop,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes capensis,Yellow Bishop,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes macroura,Yellow-mantled Widowbird,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes axillaris,Fan-tailed Widowbird,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes albonotatus,White-winged Widowbird,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
