Scientific name,Common name,Overall category,Category triggered by rate of population reduction (Criterion A),Optimistic decline10years,Pessimistic decline10years,Median decline10years,Optimistic category10years,Pessimistic category10years,Median category10years,Revised optimistic category10years,Revised pessimistic category10years,Revised median category10years,Optimistic decline3gens,Pessimistic decline3gens,Median decline3gens,Revised optimistic category3gens,Revised pessimistic category3gens,Revised median category3gens,Optimistic category3gens,Pessimistic category3gens,Median category3gens
Urocolius macrourus,Blue-naped Mousebird,LC,LC,0.02,0.27,0.15,LC,NT,LC,LC,NT,LC,0.02,0.27,0.15,LC,NT,LC,LC,NT,LC
Urocolius indicus,Red-faced Mousebird,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Leptosomus discolor,Cuckoo Roller,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.15,0.08,LC,LC,LC,LC,LC,LC
Apaloderma narina,Narina Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Apaloderma aequatoriale,Bare-cheeked Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Apaloderma vittatum,Bar-tailed Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.1,0.05,LC,LC,LC,LC,LC,LC
Apalharpactes reinwardtii,Javan Trogon,VU,LC,0.05,0.1,0.07,LC,LC,LC,VU,VU,VU,0.06,0.12,0.09,LC,LC,LC,VU,VU,VU
Apalharpactes mackloti,Sumatran Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Harpactes oreskios,Orange-breasted Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.05,LC,LC,LC,LC,LC,LC
Harpactes orrhophaeus,Cinnamon-rumped Trogon,NT,NT,0.1,0.16,0.13,LC,LC,LC,LC,LC,LC,0.11,0.18,0.15,LC,LC,LC,LC,LC,LC
Harpactes duvaucelii,Scarlet-rumped Trogon,NT,NT,0.1,0.16,0.13,LC,LC,LC,LC,LC,LC,0.1,0.17,0.14,LC,LC,LC,LC,LC,LC
Harpactes fasciatus,Malabar Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Harpactes diardii,Diard's Trogon,NT,NT,0.1,0.16,0.13,LC,LC,LC,LC,LC,LC,0.12,0.19,0.16,LC,LC,LC,LC,LC,LC
Harpactes erythrocephalus,Red-headed Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.05,LC,LC,LC,LC,LC,LC
Harpactes wardi,Ward's Trogon,NT,LC,0,0.1,0.05,LC,LC,LC,NT,NT,NT,0.01,0.11,0.06,LC,LC,LC,NT,NT,NT
Harpactes whiteheadi,Whitehead's Trogon,NT,LC,0,0.04,0.02,LC,LC,LC,NT,NT,NT,0,0.05,0.03,LC,LC,LC,NT,NT,NT
Harpactes kasumba,Red-naped Trogon,NT,NT,0.1,0.16,0.13,LC,LC,LC,LC,LC,LC,0.13,0.2,0.16,LC,LC,LC,LC,LC,LC
Harpactes ardens,Philippine Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Pharomachrus pavoninus,Pavonine Quetzal,LC,LC,0,0.13,0.06,LC,LC,LC,LC,LC,LC,0.01,0.17,0.08,LC,LC,LC,LC,LC,LC
Pharomachrus auriceps,Golden-headed Quetzal,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Pharomachrus fulgidus,White-tipped Quetzal,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Pharomachrus mocinno,Resplendent Quetzal,NT,NT,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Pharomachrus antisianus,Crested Quetzal,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euptilotis neoxenus,Eared Quetzal,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Priotelus temnurus,Cuban Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Temnotrogon roseigaster,Hispaniolan Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Trogon clathratus,Lattice-tailed Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC
Trogon massena,Slaty-tailed Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Trogon comptus,Choco Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Trogon mesurus,Ecuadorian Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Trogon melanurus,Black-tailed Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Trogon viridis,Green-backed Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Trogon chionurus,White-tailed Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Trogon melanocephalus,Black-headed Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Trogon citreolus,Citreoline Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Trogon bairdii,Baird's Trogon,NT,LC,0,0.1,0.05,LC,LC,LC,NT,NT,NT,0.01,0.11,0.06,LC,LC,LC,NT,NT,NT
Trogon violaceus,Violaceous Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Trogon curucui,Blue-crowned Trogon,LC,LC,0,0.13,0.06,LC,LC,LC,LC,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC
Trogon aurantius,Northern Surucua Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.05,LC,LC,LC,LC,LC,LC
Trogon surrucura,Southern Surucua Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.05,LC,LC,LC,LC,LC,LC
Trogon rufus,Black-throated Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.05,LC,LC,LC,LC,LC,LC
Trogon elegans,Elegant Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Trogon ambiguus,Coppery-tailed Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Trogon mexicanus,Mountain Trogon,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.05,LC,LC,LC,LC,LC,LC
Trogon collaris,Collared Trogon,LC,LC,0,0.13,0.06,LC,LC,LC,LC,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC
Trogon personatus,Masked Trogon,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Bucorvus leadbeateri,Southern Ground-hornbill,VU,VU,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0.01,0.21,0.1,LC,LC,LC,LC,LC,LC
Bucorvus abyssinicus,Northern Ground-hornbill,VU,VU,0.04,0.1,0.07,LC,LC,LC,LC,LC,LC,0.21,0.38,0.3,LC,VU,NT,LC,VU,NT
Lophoceros pallidirostris,Pale-billed Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0,0.09,0.04,LC,LC,LC,LC,LC,LC
Lophoceros nasutus,African Grey Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Lophoceros semifasciatus,West African Pied Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Lophoceros fasciatus,Congo Pied Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Lophoceros hemprichii,Hemprich's Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0.01,0.11,0.05,LC,LC,LC,LC,LC,LC
Lophoceros camurus,Dwarf Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0,0.08,0.04,LC,LC,LC,LC,LC,LC
Lophoceros alboterminatus,Crowned Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Lophoceros bradfieldi,Bradfield's Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Tockus flavirostris,Eastern Yellow-billed Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Tockus leucomelas,Southern Yellow-billed Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0,0.08,0.04,LC,LC,LC,LC,LC,LC
Tockus jacksoni,Jackson's Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0,0.09,0.05,LC,LC,LC,LC,LC,LC
Tockus deckeni,Von der Decken's Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0,0.09,0.04,LC,LC,LC,LC,LC,LC
Tockus monteiri,Monteiro's Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Tockus damarensis,Damara Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Tockus erythrorhynchus,Red-billed Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Berenicornis comatus,White-crowned Hornbill,EN,EN,0.11,0.4,0.24,LC,VU,LC,LC,VU,LC,0.26,0.62,0.44,NT,EN,VU,NT,EN,VU
Horizocerus albocristatus,Western Long-tailed Hornbill,LC,LC,0,0.09,0.04,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Horizocerus cassini,Eastern Long-tailed Hornbill,LC,LC,0,0.09,0.04,LC,LC,LC,LC,LC,LC,0.01,0.18,0.1,LC,LC,LC,LC,LC,LC
Horizocerus granti,Eastern Little Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Horizocerus hartlaubi,Western Little Hornbill,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC,0,0.08,0.04,LC,LC,LC,LC,LC,LC
Ceratogymna elata,Yellow-casqued Hornbill,VU,VU,0.07,0.17,0.12,LC,LC,LC,LC,LC,LC,0.15,0.31,0.23,LC,VU,LC,LC,VU,LC
Ceratogymna atrata,Black-casqued Hornbill,LC,LC,0,0.05,0.02,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Bycanistes brevis,Silvery-cheeked Hornbill,LC,LC,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0,0.09,0.05,LC,LC,LC,LC,LC,LC
Bycanistes subcylindricus,Grey-cheeked Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Bycanistes cylindricus,Brown-cheeked Hornbill,VU,VU,0.06,0.14,0.1,LC,LC,LC,LC,LC,LC,0.13,0.28,0.21,LC,NT,LC,LC,NT,LC
Bycanistes albotibialis,White-thighed Hornbill,LC,LC,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0,0.07,0.04,LC,LC,LC,LC,LC,LC
Bycanistes bucinator,Trumpeter Hornbill,LC,LC,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0,0.07,0.03,LC,LC,LC,LC,LC,LC
Bycanistes fistulator,Western Piping Hornbill,LC,LC,0.04,0.04,0.04,LC,LC,LC,LC,LC,LC,0.07,0.07,0.07,LC,LC,LC,LC,LC,LC
Bycanistes sharpii,Eastern Piping Hornbill,LC,LC,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0,0.09,0.04,LC,LC,LC,LC,LC,LC
Rhinoplax vigil,Helmeted Hornbill,CR,CR,0.24,1,0.6,LC,CR,EN,LC,CR,EN,0.54,1,0.81,EN,CR,CR,EN,CR,CR
Buceros hydrocorax,Northern Rufous Hornbill,VU,VU,0.06,0.15,0.11,LC,LC,LC,LC,LC,LC,0.15,0.31,0.23,LC,VU,LC,LC,VU,LC
Buceros mindanensis,Southern Rufous Hornbill,VU,VU,0.06,0.15,0.11,LC,LC,LC,LC,LC,LC,0.22,0.4,0.31,LC,VU,VU,LC,VU,VU
Buceros bicornis,Great Hornbill,VU,VU,0.06,0.1,0.09,LC,LC,LC,LC,LC,LC,0.24,0.33,0.29,LC,VU,NT,LC,VU,NT
Buceros rhinoceros,Rhinoceros Hornbill,VU,VU,0.1,0.15,0.14,LC,LC,LC,LC,LC,LC,0.31,0.38,0.36,VU,VU,VU,VU,VU,VU
Anorrhinus galeritus,Bushy-crested Hornbill,NT,NT,0.07,0.12,0.1,LC,LC,LC,LC,LC,LC,0.14,0.21,0.18,LC,LC,LC,LC,LC,LC
Anorrhinus austeni,Austen's Brown Hornbill,NT,LC,0,0.07,0.03,LC,LC,LC,NT,NT,NT,0.01,0.11,0.05,LC,LC,LC,NT,NT,NT
Anorrhinus tickelli,Tickell's Brown Hornbill,NT,NT,0.06,0.11,0.09,LC,LC,LC,LC,LC,LC,0.11,0.18,0.15,LC,LC,LC,LC,LC,LC
Ocyceros birostris,Indian Grey Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ocyceros griseus,Malabar Grey Hornbill,LC,LC,0,0.07,0.03,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Ocyceros gingalensis,Sri Lanka Grey Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Anthracoceros malayanus,Black Hornbill,VU,VU,0.12,0.26,0.19,LC,NT,LC,LC,NT,LC,0.21,0.38,0.3,LC,VU,NT,LC,VU,NT
Anthracoceros montani,Sulu Hornbill,CR,LC,0.22,0.58,0.4,LC,EN,VU,CR,CR,CR,0.36,0.7,0.54,VU,EN,EN,CR,CR,CR
Anthracoceros coronatus,Malabar Pied Hornbill,NT,LC,0,0.07,0.04,LC,LC,LC,NT,NT,NT,0.01,0.12,0.06,LC,LC,LC,NT,NT,NT
Anthracoceros albirostris,Oriental Pied Hornbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Anthracoceros marchei,Palawan Hornbill,VU,VU,0.12,0.26,0.19,LC,NT,LC,LC,NT,LC,0.19,0.37,0.28,LC,VU,NT,LC,VU,NT
Aceros nipalensis,Rufous-necked Hornbill,VU,VU,0.06,0.14,0.1,LC,LC,LC,LC,LC,LC,0.16,0.33,0.25,LC,VU,LC,LC,VU,LC
Rhabdotorrhinus corrugatus,Wrinkled Hornbill,EN,EN,0.11,0.4,0.24,LC,VU,LC,LC,VU,LC,0.24,0.6,0.42,LC,EN,VU,LC,EN,VU
Rhabdotorrhinus exarhatus,Sulawesi Hornbill,VU,VU,0.06,0.14,0.1,LC,LC,LC,LC,LC,LC,0.09,0.2,0.15,LC,LC,LC,LC,LC,LC
Rhabdotorrhinus leucocephalus,Writhed Hornbill,NT,NT,0.04,0.07,0.05,LC,LC,LC,NT,NT,NT,0.08,0.14,0.11,LC,LC,LC,NT,NT,NT
Rhabdotorrhinus waldeni,Rufous-headed Hornbill,CR,CR,0.25,1,0.61,LC,CR,EN,EN,CR,EN,0.48,1,0.79,VU,CR,EN,EN,CR,EN
Penelopides panini,Visayan Hornbill,EN,EN,0.11,0.39,0.24,LC,VU,LC,EN,EN,EN,0.29,0.65,0.47,NT,EN,VU,EN,EN,EN
Penelopides affinis,Mindanao Hornbill,LC,LC,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0,0.07,0.03,LC,LC,LC,LC,LC,LC
Penelopides mindorensis,Mindoro Hornbill,EN,LC,0.06,0.14,0.1,LC,LC,LC,EN,EN,EN,0.12,0.25,0.18,LC,LC,LC,EN,EN,EN
Penelopides manillae,Luzon Hornbill,LC,LC,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0,0.07,0.03,LC,LC,LC,LC,LC,LC
Rhyticeros cassidix,Knobbed Hornbill,VU,VU,0.06,0.14,0.1,LC,LC,LC,LC,LC,LC,0.14,0.29,0.22,LC,NT,LC,LC,NT,LC
Rhyticeros everetti,Sumba Hornbill,VU,VU,0.06,0.14,0.1,LC,LC,LC,VU,VU,VU,0.13,0.28,0.21,LC,NT,LC,VU,VU,VU
Rhyticeros undulatus,Wreathed Hornbill,VU,VU,0.06,0.1,0.08,LC,LC,LC,LC,LC,LC,0.15,0.23,0.19,LC,LC,LC,LC,LC,LC
Rhyticeros subruficollis,Plain-pouched Hornbill,VU,VU,0.06,0.14,0.1,LC,LC,LC,LC,LC,LC,0.15,0.3,0.23,LC,VU,LC,LC,VU,LC
Rhyticeros narcondami,Narcondam Hornbill,EN,LC,0,0,0,LC,LC,LC,EN,EN,EN,0,0,0,LC,LC,LC,EN,EN,EN
Rhyticeros plicatus,Papuan Hornbill,LC,LC,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Upupa epops,Common Hoopoe,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC
Upupa marginata,Madagascar Hoopoe,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Upupa antaios,St Helena Hoopoe,EX,LC,0,0,0,EX,EX,EX,EX,EX,EX,0,0,0,LC,LC,LC,EX,EX,EX
Phoeniculus purpureus,Green Woodhoopoe,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Phoeniculus damarensis,Violet Woodhoopoe,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Phoeniculus somaliensis,Black-billed Woodhoopoe,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Phoeniculus bollei,White-headed Woodhoopoe,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.13,0.07,LC,LC,LC,LC,LC,LC
Rhinopomastus castaneiceps,Forest Scimitarbill,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Rhinopomastus aterrimus,Black Scimitarbill,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Rhinopomastus cyanomelas,Common Scimitarbill,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Rhinopomastus minor,Abyssinian Scimitarbill,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Nyctyornis amictus,Red-bearded Bee-eater,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Nyctyornis athertoni,Blue-bearded Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Meropogon forsteni,Purple-bearded Bee-eater,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC
Merops bullockoides,White-fronted Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops bulocki,Red-throated Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops breweri,Black-headed Bee-eater,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC,0.01,0.13,0.06,LC,LC,LC,LC,LC,LC
Merops albicollis,White-throated Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops revoilii,Somali Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops malimbicus,Rosy Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops nubicus,Northern Carmine Bee-eater,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Merops nubicoides,Southern Carmine Bee-eater,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC
Merops viridissimus,African Green Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops cyanophrys,Arabian Green Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops orientalis,Asian Green Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops leschenaulti,Chestnut-headed Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops viridis,Blue-throated Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops americanus,Rufous-crowned Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops philippinus,Blue-tailed Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops superciliosus,Olive Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops persicus,Blue-cheeked Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops apiaster,European Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops ornatus,Rainbow Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops boehmi,BÌ¦hm's Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops hirundineus,Swallow-tailed Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops lafresnayii,Ethiopian Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops oreobates,Cinnamon-chested Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops variegatus,Blue-breasted Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops pusillus,Little Bee-eater,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC
Merops gularis,Black Bee-eater,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Merops muelleri,Blue-headed Bee-eater,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Merops mentalis,Blue-moustached Bee-eater,NT,NT,0.11,0.18,0.15,LC,LC,LC,LC,LC,LC,0.11,0.18,0.15,LC,LC,LC,LC,LC,LC
Coracias naevius,Purple Roller,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.15,0.08,LC,LC,LC,LC,LC,LC
Coracias benghalensis,Indian Roller,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Coracias affinis,Indochinese Roller,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Coracias temminckii,Purple-winged Roller,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.15,0.08,LC,LC,LC,LC,LC,LC
Coracias spatulatus,Racquet-tailed Roller,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Coracias caudatus,Lilac-breasted Roller,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Coracias abyssinicus,Abyssinian Roller,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Coracias garrulus,European Roller,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Coracias cyanogaster,Blue-bellied Roller,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Eurystomus gularis,Blue-throated Roller,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Eurystomus glaucurus,Broad-billed Roller,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Eurystomus orientalis,Oriental Dollarbird,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.13,0.07,LC,LC,LC,LC,LC,LC
Eurystomus azureus,Azure Dollarbird,NT,LC,0.06,0.12,0.09,LC,LC,LC,NT,NT,NT,0.07,0.15,0.11,LC,LC,LC,NT,NT,NT
Brachypteracias leptosomus,Short-legged Ground-roller,VU,VU,0.19,0.36,0.28,LC,VU,NT,LC,VU,NT,0.29,0.48,0.39,NT,VU,VU,NT,VU,VU
Geobiastes squamiger,Scaly Ground-roller,VU,VU,0.19,0.36,0.28,LC,VU,NT,LC,VU,NT,0.28,0.47,0.37,NT,VU,VU,NT,VU,VU
Uratelornis chimaera,Long-tailed Ground-roller,VU,VU,0.19,0.36,0.28,LC,VU,NT,LC,VU,NT,0.26,0.45,0.36,NT,VU,VU,NT,VU,VU
Atelornis pittoides,Pitta-like Ground-roller,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
