"","Scientific_Name","Class","Common_Name"
"2670","Myiopsitta monachus","aves","Monk parakeet"
"2671","Myiornis auricularis","aves","Eared pygmy-tyrant"
"2672","Myiothlypis flaveola","aves","Flavescent warbler"
"2673","Myiothlypis leucoblephara","aves","White-rimmed warbler"
"2674","Myiozetetes similis","aves","Social flycatcher"
"2675","Myleus rhomboidalis","actinopterygii","No common name"
"2676","Myleus ternetzi","actinopterygii","No common name"
"2677","Myliobatis aquila","chondrichthyes","Common eagle ray"
"2678","Myliobatis goodei","chondrichthyes","Southern eagle ray"
"2679","Myocastor coypus","mammalia","Nutria / Coypu"
"2680","Myodes gapperi","mammalia","Southern red-backed vole"
"2681","Myodes glareolus","mammalia","Bank vole"
"2682","Myodes rufocanus","mammalia","Grey-sided vole / Grey red-backed vole"
"2683","Myodes rutilus","mammalia","Northern red-backed vole"
"2684","Myoprocta pratti","mammalia","Green acouchi"
"2685","Myotis capaccinii","mammalia","Long-fingered myotis"
"2686","Myotis dasycneme","mammalia","Pond myotis"
"2687","Myotis daubentonii","mammalia","Daubenton's bat"
"2688","Myotis emarginatus","mammalia","Geoffroy's myotis"
"2689","Myotis escalerai","mammalia","Escalera's bat"
"2690","Myotis keenii","mammalia","Keen's long-eared bat"
"2691","Myotis lucifugus","mammalia","Little brown bat"
"2692","Myotis myotis","mammalia","Greater mouse-eared bat / Mouse-eared myotis"
"2693","Myotis mystacinus","mammalia","Whiskered myotis"
"2694","Myotis nattereri","mammalia","Natterer's bat"
"2695","Myotis septentrionalis","mammalia","Northern myotis"
"2696","Myotis sodalis","mammalia","Indiana myotis"
"2697","Myoxocephalus jaok","actinopterygii","Plain sculpin"
"2698","Myoxocephalus octodecemspinosus","actinopterygii","Longhorn sculpin"
"2699","Myoxocephalus polyacanthocephalus","actinopterygii","Great sculpin"
"2700","Myoxocephalus quadricornis","actinopterygii","Fourhorn sculpin"
"2701","Myoxocephalus scorpius","actinopterygii","Shorthorn sculpin"
"2702","Myoxocephalus thompsonii","actinopterygii","Deepwater sculpin"
"2703","Myoxocephalus verrucosus","actinopterygii","Warty sculpin"
"2704","Myripristis berndti","actinopterygii","Blotcheye soldierfish"
"2705","Myripristis jacobus","actinopterygii","Blackbar soldierfish"
"2706","Myrmoborus myotherinus","aves","Black-faced antbird"
"2707","Myrmotherula axillaris","aves","White-flanked antwren"
"2708","Myrmotherula longipennis","aves","Long-winged antwren"
"2709","Myrmotherula menetriesii","aves","Grey antwren"
"2710","Myxine glutinosa","myxini","Atlantic hagfish"
"2711","Myxus capensis","actinopterygii","Freshwater mullet"
"2712","Myzomela rubratra","aves","Micronesian myzomela"
"2713","Myzomela sanguinolenta","aves","Scarlet myzomela"
"2714","Nactus serpensinsula","reptilia","Serpent Island gecko"
"2715","Nanger granti","mammalia","Grant's gazelle"
"2716","Nannoperca australis","actinopterygii","Southern pygmy perch"
"2717","Nannoperca obscura","actinopterygii","Yarra pygmy perch"
"2718","Nannopterum auritus","aves","Double-crested cormorant"
"2719","Nannopterum brasilianus","aves","Neotropic cormorant"
"2720","Napaeozapus insignis","mammalia","Woodland jumping mouse"
"2721","Naso brevirostris","actinopterygii","Spotted unicornfish"
"2722","Naso lituratus","actinopterygii","Orangespine unicornfish"
"2723","Naso unicornis","actinopterygii","Bluespine unicornfish"
"2724","Naso vlamingii","actinopterygii","Bignose unicornfish"
"2725","Nasua narica","mammalia","Coatimundi / White-nosed coati"
"2726","Natator depressus","reptilia","Flatback turtle"
"2727","Natrix maura","reptilia","Viperine water snake"
"2728","Natrix natrix","reptilia","Grass snake"
"2729","Natrix tessellata","reptilia","Dice snake"
"2730","Naultinus manukanus","reptilia","Marlborough green gecko"
"2731","Nebrius ferrugineus","chondrichthyes","Tawny nurse shark"
"2732","Necrosyrtes monachus","aves","Hooded vulture"
"2733","Nectomys squamipes","mammalia","South American water rat"
"2734","Necturus maculosus","amphibia","Mudpuppy"
"2735","Negaprion acutidens","chondrichthyes","Sicklefin lemon shark"
"2736","Negaprion brevirostris","chondrichthyes","Lemon shark"
"2737","Nemadactylus douglasii","actinopterygii","Porae"
"2738","Nemadactylus macropterus","actinopterygii","Tarakihi"
"2739","Nematalosa erebi","actinopterygii","Australian river gizzard shad"
"2740","Nemichthys scolopaceus","actinopterygii","Slender snipe eel"
"2741","Nemipterus virgatus","actinopterygii","Golden threadfin bream"
"2742","Nemosia pileata","aves","Hooded tanager"
"2743","Neoarius berneyi","actinopterygii","Highfin catfish"
"2744","Neoarius graeffei","actinopterygii","Blue salmon catfish"
"2745","Neoarius leptaspis","actinopterygii","Salmon catfish"
"2746","Neoarius midgleyi","actinopterygii","Silver cobbler"
"2747","Neochmia temporalis","aves","Red-browed finch"
"2748","Neocyttus rhomboidalis","actinopterygii","Spiky oreo"
"2749","Neofelis nebulosa","mammalia","Clouded leopard"
"2750","Neoglyphidodon nigroris","actinopterygii","Black-and-gold chromis"
"2751","Neogobius melanostomus","actinopterygii","Round goby"
"2752","Neomonachus schauinslandi","mammalia","Hawaiian monk seal"
"2753","Neomys fodiens","mammalia","European shrew / Eurasian shrew"
"2754","Neoniphon marianus","actinopterygii","Longjaw squirrelfish"
"2755","Neoodax balteatus","actinopterygii","Little weed whiting"
"2756","Neophema chrysogaster","aves","Orange-bellied parrot"
"2757","Neophocaena phocaenoides","mammalia","Finless porpoise"
"2758","Neophron percnopterus","aves","Egyptian vulture"
"2759","Neopomacentrus azysron","actinopterygii","Yellowtail demoiselle"
"2760","Neopomacentrus bankieri","actinopterygii","Chinese demoiselle"
"2761","Neoscorpis lithophilus","actinopterygii","Stone-bream"
"2762","Neosilurus ater","actinopterygii","Narrowfront tandan"
"2763","Neosilurus hyrtlii","actinopterygii","Hyrtl's catfish"
"2764","Neotamias amoenus","mammalia","Yellow-pine chipmunk"
"2765","Neotamias minimus","mammalia","Eastern chipmunk / Least chipmunk"
"2766","Neotamias quadrimaculatus","mammalia","Long-eared chipmunk"
"2767","Neotamias senex","mammalia","Shadow chipmunk"
"2768","Neotoma albigula","mammalia","White throated woodrat"
"2769","Neotoma fuscipes","mammalia","Dusky-footed woodrat"
"2770","Neotoma magister","mammalia","Allegheny woodrat"
"2771","Neovison vison","mammalia","Mink / American mink"
"2772","Nerodia fasciata","reptilia","Southern water snake"
"2773","Nerodia floridana","reptilia","Florida green water snake"
"2774","Nerodia sipedon","reptilia","Lake Erie water snake"
"2775","Nestor meridionalis","aves","New Zealand kaka"
"2776","Netta erythrophthalma","aves","Southern pochard"
"2777","Netta rufina","aves","Red-crested pochard"
"2778","Nettapus auritus","aves","African pygmy-goose"
"2779","Nettapus coromandelianus","aves","Cotton pygmy-goose"
"2780","Netuma proxima","actinopterygii","Arafura catfish"
"2781","Netuma thalassina","actinopterygii","Giant catfish"
"2782","Nezumia bairdii","actinopterygii","Marlin-spike grenadier"
"2783","Nicholsina usta","actinopterygii","Emerald parrotfish"
"2784","Nilgiritragus hylocrius","mammalia","Nilgiri tahr"
"2785","Niviventer cremoriventer","mammalia","Sundaic arboreal niviventer"
"2786","Nomascus gabriellae","mammalia","Red-cheeked gibbon"
"2787","Nomascus nasutus","mammalia","Black-crested gibbon"
"2788","Notacanthus chemnitzii","actinopterygii","Snubnosed spiny eel"
"2789","Notechis scutatus","reptilia","Tiger snake"
"2790","Notemigonus crysoleucas","actinopterygii","Golden shiner"
"2791","Notesthes robusta","actinopterygii","Bullrout"
"2792","Nothura maculosa","aves","Spotted nothura"
"2793","Notolabrus celidotus","actinopterygii","Spotty"
"2794","Notolabrus fucicola","actinopterygii","Yellow-saddled wrasse"
"2795","Notolabrus tetricus","actinopterygii","Blue-throated wrasse"
"2796","Notophthalmus perstriatus","amphibia","Striped newt"
"2797","Notophthalmus viridescens","amphibia","Eastern newt"
"2798","Notorynchus cepedianus","chondrichthyes","Broadnose sevengill shark"
"2799","Notothenia rossii","actinopterygii","Marbled rockcod"
"2800","Notropis atherinoides","actinopterygii","Emerald shiner"
"2801","Notropis cahabae","actinopterygii","Cahaba shiner"
"2802","Notropis dorsalis","actinopterygii","Bigmouth shiner"
"2803","Notropis heterodon","actinopterygii","Blackchin shiner"
"2804","Notropis heterolepis","actinopterygii","Blacknose shiner"
"2805","Notropis hudsonius","actinopterygii","Spottail shiner"
"2806","Notropis volucellus","actinopterygii","Mimic shiner"
"2807","Noturus flavus","actinopterygii","Stonecat"
"2808","Noturus gyrinus","actinopterygii","Tadpole madtom"
"2809","Nuchequula gerreoides","actinopterygii","Ornate ponyfish"
"2810","Nucifraga caryocatactes","aves","Northern nutcracker"
"2811","Nucifraga columbiana","aves","Clark's nutcracker"
"2812","NULL","actinopterygii","Singing catfish"
"2813","NULL","actinopterygii","Madamango sea catfish"
"2814","NULL","actinopterygii","Southern garfish"
"2815","NULL","actinopterygii","Antarctic toothfish"
"2816","NULL","actinopterygii","Tamar River goby"
"2817","NULL","actinopterygii","Spiky oreo"
"2818","NULL","actinopterygii","Basketwork eel"
"2819","NULL","actinopterygii","Slender codling"
"2820","NULL","actinopterygii","Slender unicorn rattail"
"2821","NULL","actinopterygii","Greenback flounder"
"2822","NULL","actinopterygii","Flat-tail mullet"
"2823","NULL","actinopterygii","Mediterranean sand smelt"
"2824","NULL","actinopterygii","Winter flounder"
"2825","NULL","actinopterygii","Lumpfish / Lumpsucker"
"2826","NULL","actinopterygii","Windowpane flounder"
"2827","NULL","actinopterygii","Granulated catfish"
"2828","NULL","actinopterygii","Pati"
"2829","NULL","actinopterygii","Roundbelly cowfish"
"2830","NULL","actinopterygii","Uruguay tetra"
"2831","NULL","actinopterygii","Cachama"
"2832","NULL","actinopterygii","Piraputanga"
"2833","NULL","actinopterygii","Poor man's tropheus"
"2834","NULL","actinopterygii","Jewel tetra"
"2835","NULL","actinopterygii","Umbrella cichlid"
"2836","NULL","actinopterygii","Redbreast acara"
"2837","NULL","actinopterygii","Corumba cichlid"
"2838","NULL","actinopterygii","Smallmouth flounder"
"2839","NULL","actinopterygii","Redeye tetra"
"2840","NULL","actinopterygii","Bloodfin tetra"
"2841","NULL","actinopterygii","Highwaterman catfish"
"2842","NULL","actinopterygii","Flatwhiskered catfish"
"2843","NULL","actinopterygii","Gilded catfish"
"2844","NULL","actinopterygii","Squeteague"
"2845","NULL","actinopterygii","Argentine"
"2846","NULL","actinopterygii","Northern snubnose garfish"
"2847","NULL","actinopterygii","American sand lance"
"2848","NULL","actinopterygii","Ling"
"2849","NULL","actinopterygii","Pacific saury"
"2850","NULL","actinopterygii","Lesser weever"
"2851","NULL","actinopterygii","Pacific blue-eye"
"2852","NULL","actinopterygii","Decorated ponyfish"
"2853","NULL","actinopterygii","Greenback mullet"
"2854","NULL","actinopterygii","Spotted green goby"
"2855","NULL","actinopterygii","Trumpeter whiting"
"2856","NULL","actinopterygii","Dusky flathead"
"2857","NULL","actinopterygii","Empire gudgeon"
"2858","NULL","actinopterygii","Golden-lined sillago"
"2859","NULL","actinopterygii","Bar-tailed flathead"
"2860","NULL","actinopterygii","Largetooth flounder"
"2861","NULL","actinopterygii","Fly-specked hardyhead"
"2862","NULL","actinopterygii","Greenland halibut"
"2863","NULL","actinopterygii","Flounder / brill"
"2864","NULL","actinopterygii","Golden redfish"
"2865","NULL","actinopterygii","Bicolor chromis"
"2866","NULL","actinopterygii","Vanderbilt's chromis"
"2867","NULL","actinopterygii","Fusilier damselfish"
"2868","NULL","actinopterygii","Japanese meagre"
"2869","NULL","actinopterygii","Small kob"
"2870","NULL","actinopterygii","Pouting"
"2871","NULL","actinopterygii","Poor cod"
"2872","NULL","actinopterygii","Brazilian bocachico"
"2873","NULL","actinopterygii","Longarm mullet"
"2874","NULL","actinopterygii","Cape silverside"
"2875","NULL","actinopterygii","Cape sole"
"2876","NULL","actinopterygii","Cape halfbeak"
"2877","NULL","actinopterygii","Donkey croaker"
"2878","NULL","actinopterygii","Dark sea catfish"
"2879","NULL","actinopterygii","Barramundi"
"2880","NULL","actinopterygii","Atlantic hookear sculpin"
"2881","NULL","actinopterygii","Blackfin poacher"
"2882","NULL","actinopterygii","Bigeye poacher"
"2883","NULL","actinopterygii","Goiter blacksmelt"
"2884","NULL","actinopterygii","Searcher"
"2885","NULL","actinopterygii","Brook trout / Freshwater brook trout"
"2886","NULL","actinopterygii","Pearly prickleback"
"2887","NULL","actinopterygii","Smalldisk snailfish"
"2888","NULL","actinopterygii","American smooth flounder"
"2889","NULL","actinopterygii","Wrymouth"
"2890","NULL","actinopterygii","Spinyhead sculpin"
"2891","NULL","actinopterygii","Saffron cod"
"2892","NULL","actinopterygii","Wolf-eel"
"2893","NULL","actinopterygii","Fourline snakeblenny"
"2894","NULL","actinopterygii","Atlantic spiny lumpsucker"
"2895","NULL","actinopterygii","Rio de Plata onesided livebearer"
"2896","NULL","actinopterygii","Baboso"
"2897","NULL","actinopterygii","Copper rockfish"
"2898","NULL","actinopterygii","Arctic staghorn sculpin"
"2899","NULL","actinopterygii","Greenstriped rockfish"
"2900","NULL","actinopterygii","Yellowtail rockfish"
"2901","NULL","actinopterygii","Redeye mullet"
"2902","NULL","actinopterygii","Pygmy rockfish"
"2903","NULL","actinopterygii","Linguado"
"2904","NULL","actinopterygii","Pacific sanddab"
"2905","NULL","actinopterygii","Tetra"
"2906","NULL","actinopterygii","Tambicu"
"2907","NULL","actinopterygii","Pearl cichlid"
"2908","NULL","actinopterygii","Pacific sand sole"
"2909","NULL","actinopterygii","Curlfin sole"
"2910","NULL","actinopterygii","Argentine croaker"
"2911","NULL","actinopterygii","Black eelpout"
"2912","NULL","actinopterygii","Remo flounder"
"2913","NULL","actinopterygii","Atlantic poacher"
"2914","NULL","actinopterygii","Striped silver biddy"
"2915","NULL","actinopterygii","Longfin hake"
"2916","NULL","actinopterygii","Sea raven"
"2917","NULL","actinopterygii","Roughnose grenadier"
"2918","NULL","actinopterygii","Arrowtooth flounder"
"2919","NULL","actinopterygii","Bluespot mullet"
"2920","NULL","actinopterygii","Barred fingerfin"
"2921","NULL","actinopterygii","Pacific cod"
"2922","NULL","actinopterygii","Polar sculpin"
"2923","NULL","actinopterygii","Kamchatka flounder"
"2924","NULL","actinopterygii","Shorthorn sculpin"
"2925","NULL","actinopterygii","Snakeblenny"
"2926","NULL","actinopterygii","Pacific sand lance"
"2927","NULL","actinopterygii","Whitespotted greenling"
"2928","NULL","actinopterygii","Tubenose poacher"
"2929","NULL","actinopterygii","Surf smelt"
"2930","NULL","actinopterygii","Silverspotted sculpin"
"2931","NULL","actinopterygii","Snake prickleback"
"2932","NULL","actinopterygii","Pacific tomcod"
"2933","NULL","actinopterygii","Crescent gunnel"
"2934","NULL","actinopterygii","Pacific sandfish"
"2935","NULL","actinopterygii","Kelp greenling"
"2936","NULL","actinopterygii","Buffalo sculpin"
"2937","NULL","actinopterygii","Slender eelblenny"
"2938","NULL","actinopterygii","Masked greenling"
"2939","NULL","actinopterygii","Rock greenling"
"2940","NULL","actinopterygii","Lingcod"
"2941","NULL","actinopterygii","Daubed shanny"
"2942","NULL","actinopterygii","Lake whitefish"
"2943","NULL","actinopterygii","Pink salmon"
"2944","NULL","actinopterygii","Chum salmon"
"2945","NULL","actinopterygii","Coho salmon"
"2946","NULL","actinopterygii","Chinook salmon"
"2947","NULL","actinopterygii","Oscar"
"2948","NULL","actinopterygii","Black acara"
"2949","NULL","actinopterygii","Lake trout"
"2950","NULL","actinopterygii","White barbel"
"2951","NULL","actinopterygii","Striped mullet"
"2952","NULL","actinopterygii","Black oreo"
"2953","NULL","actinopterygii","Australian salmon"
"2954","NULL","actinopterygii","Bight redfish"
"2955","NULL","actinopterygii","Kingklip"
"2956","NULL","actinopterygii","Bluenose warehou"
"2957","NULL","actinopterygii","Giant stargazer"
"2958","NULL","actinopterygii","Southern hake"
"2959","NULL","actinopterygii","Deep-water Cape hake"
"2960","NULL","actinopterygii","Bastard halibut"
"2961","NULL","actinopterygii","Dolly varden"
"2962","NULL","actinopterygii","Silver gemfish"
"2963","NULL","actinopterygii","Cabezon"
"2964","NULL","actinopterygii","Rougheye rockfish"
"2965","NULL","actinopterygii","Gopher rockfish"
"2966","NULL","actinopterygii","Greenspotted rockfish"
"2967","NULL","actinopterygii","Splitnose rockfish"
"2968","NULL","actinopterygii","Chilipepper rockfish"
"2969","NULL","actinopterygii","Shortbelly rockfish"
"2970","NULL","actinopterygii","Cowcod"
"2971","NULL","actinopterygii","Black rockfish"
"2972","NULL","actinopterygii","Blackgill rockfish"
"2973","NULL","actinopterygii","Blue rockfish"
"2974","NULL","actinopterygii","Bank rockfish"
"2975","NULL","actinopterygii","Light dusky rockfish"
"2976","NULL","actinopterygii","Common warehou"
"2977","NULL","actinopterygii","Silver warehou"
"2978","NULL","actinopterygii","Eastern school whiting"
"2979","NULL","actinopterygii","Argentinian silverside"
"2980","NULL","actinopterygii","Piau"
"2981","NULL","actinopterygii","Rainbow trout / Steelhead trout"
"2982","NULL","actinopterygii","Round whitefish"
"2983","NULL","actinopterygii","Pink cusk-eel"
"2984","NULL","actinopterygii","Northern rock sole"
"2985","NULL","actinopterygii","Bering flounder"
"2986","NULL","actinopterygii","Creole perch"
"2987","NULL","actinopterygii","Patagonian pejerrey"
"2988","NULL","actinopterygii","Sickle pomfret"
"2989","NULL","actinopterygii","False trevally"
"2990","NULL","actinopterygii","Red hake"
"2991","NULL","actinopterygii","Woolly sculpin"
"2992","NULL","actinopterygii","Northern wolffish"
"2993","NULL","actinopterygii","Tiger flathead"
"2994","NULL","actinopterygii","Chameleon cichlid"
"2995","NULL","actinopterygii","Cardinalfish"
"2996","NULL","actinopterygii","Salmon catfish"
"2997","NULL","actinopterygii","Longsnouted catfish"
"2998","NULL","actinopterygii","Master's catfish"
"2999","NULL","actinopterygii","Arafura catfish"
"3000","NULL","actinopterygii","Giant catfish"
"3001","NULL","actinopterygii","South African mullet"
"3002","NULL","actinopterygii","Spotted sicklefish"
"3003","NULL","actinopterygii","Fourfinger threadfin"
"3004","NULL","actinopterygii","Black-barred halfbeak"
"3005","NULL","actinopterygii","King threadfin"
"3006","NULL","actinopterygii","Javelin grunter"
"3007","NULL","actinopterygii","Spotbanded scat"
"3008","NULL","actinopterygii","Lesser sand-eel"
"3009","NULL","actinopterygii","Atlantic wolffish"
"3010","NULL","actinopterygii","Greater argentine"
"3011","NULL","actinopterygii","Tusk / Cusk"
"3012","NULL","actinopterygii","Witch flounder"
"3013","NULL","actinopterygii","American plaice"
"3014","NULL","actinopterygii","Grey rockcod"
"3015","NULL","actinopterygii","Fourspotted megrim"
"3016","NULL","actinopterygii","Megrim"
"3017","NULL","actinopterygii","American angler"
"3018","NULL","actinopterygii","Streaked prochilod"
"3019","NULL","actinopterygii","Argentine hake"
"3020","NULL","actinopterygii","Blue whiting"
"3021","NULL","actinopterygii","Saithe"
"3022","NULL","actinopterygii","Turbot"
"3023","NULL","actinopterygii","South American silver croaker"
"3024","NULL","actinopterygii","Demon eartheater"
"3025","NULL","actinopterygii","Darter characine"
"3026","NULL","actinopterygii","Snow pleco"
"3027","NULL","actinopterygii","White hake"
"3028","NULL","actinopterygii","Scaly damsel"
"3029","NULL","actinopterygii","Patagonian toothfish"
"3030","NULL","actinopterygii","Stripped weakfish"
"3031","NULL","actinopterygii","Brazilian flathead"
"3032","NULL","actinopterygii","Northern spearnose poacher"
"3033","NULL","actinopterygii","Squaretail kob"
"3034","NULL","actinopterygii","Whitebait smelt"
"3035","NULL","actinopterygii","King George whiting"
"3036","NULL","actinopterygii","Twoline eelpout"
"3037","NULL","actinopterygii","Blacktail snailfish"
"3038","NULL","actinopterygii","Scotian snailfish"
"3039","NULL","actinopterygii","Sea tadpole"
"3040","NULL","actinopterygii","Pacific viperfish"
"3041","NULL","actinopterygii","Roughback sculpin"
"3042","NULL","actinopterygii","Dwarf wrymouth"
"3043","NULL","actinopterygii","Giant wrymouth"
"3044","NULL","actinopterygii","Giant grenadier"
"3045","NULL","actinopterygii","Pacific lamprey"
"3046","NULL","actinopterygii","Dover sole"
"3047","NULL","actinopterygii","Rex sole"
"3048","NULL","actinopterygii","Butter sole"
"3049","NULL","actinopterygii","Threadfin rockling"
"3050","NULL","actinopterygii","Bigmouth sculpin"
"3051","NULL","actinopterygii","Blackfin sculpin"
"3052","NULL","actinopterygii","Spectacled sculpin"
"3053","NULL","actinopterygii","Brown Irish lord"
"3054","NULL","actinopterygii","Dusky sculpin"
"3055","NULL","actinopterygii","Spotfin sculpin"
"3056","NULL","actinopterygii","Spatulate sculpin"
"3057","NULL","actinopterygii","Ragfish"
"3058","NULL","actinopterygii","Northern smoothtongue"
"3059","NULL","actinopterygii","Atlantic seasnail"
"3060","NULL","actinopterygii","Gelatinous snailfish"
"3061","NULL","actinopterygii","Variegated snailfish"
"3062","NULL","actinopterygii","Kelp snailfish"
"3063","NULL","actinopterygii","Snakehead eelpout"
"3064","NULL","actinopterygii","Wolf eelpout"
"3065","NULL","actinopterygii","Pallid eelpout"
"3066","NULL","actinopterygii","Shortfin eelpout"
"3067","NULL","actinopterygii","Bigfin eelpout"
"3068","NULL","actinopterygii","Whitespotted devil"
"3069","NULL","actinopterygii","Greater eelpout"
"3070","NULL","actinopterygii","Newfoundland eelpout"
"3071","NULL","actinopterygii","Blackbelly eelpout"
"3072","NULL","actinopterygii","Cocoa damselfish"
"3073","NULL","actinopterygii","Pale eelpout"
"3074","NULL","actinopterygii","Arctic eelpout"
"3075","NULL","actinopterygii","Vahl's eelpout"
"3076","NULL","actinopterygii","Sablefish"
"3077","NULL","actinopterygii","Redfingers"
"3078","NULL","actinopterygii","Cloudy dascyllus"
"3079","NULL","actinopterygii","Flathead sole"
"3080","NULL","actinopterygii","Pacific halibut"
"3081","NULL","actinopterygii","Rock sole"
"3082","NULL","actinopterygii","Yellowfin sole"
"3083","NULL","actinopterygii","Stone-bream"
"3084","NULL","actinopterygii","Longhead dab"
"3085","NULL","actinopterygii","Sakhalin flounder / Sakhalin sole"
"3086","NULL","actinopterygii","C-O sole"
"3087","NULL","actinopterygii","Smallmouth spiny eel"
"3088","NULL","actinopterygii","English sole"
"3089","NULL","actinopterygii","Atka mackerel"
"3090","NULL","actinopterygii","Alaska plaice"
"3091","NULL","actinopterygii","Alaska pollock / Walleye pollock"
"3092","NULL","actinopterygii","Slender armorhead"
"3093","NULL","actinopterygii","Slim sculpin"
"3094","NULL","actinopterygii","Pacific ocean perch"
"3095","NULL","actinopterygii","Widow rockfish"
"3096","NULL","actinopterygii","Northern ronquil"
"3097","NULL","actinopterygii","Atlantic butterfish"
"3098","NULL","actinopterygii","Aurora rockfish"
"3099","NULL","actinopterygii","Puget Sound rockfish"
"3100","NULL","actinopterygii","Rosethorn rockfish"
"3101","NULL","actinopterygii","Vermilion rockfish"
"3102","NULL","actinopterygii","China rockfish"
"3103","NULL","actinopterygii","Tiger rockfish"
"3104","NULL","actinopterygii","Stripetail rockfish"
"3105","NULL","actinopterygii","Harlequin rockfish"
"3106","NULL","actinopterygii","Sharpchin rockfish"
"3107","NULL","actinopterygii","Longfin dragonfish"
"3108","NULL","actinopterygii","Roughspine sculpin"
"3109","NULL","actinopterygii","Ribbed sculpin"
"3110","NULL","actinopterygii","Radiated shanny"
"3111","NULL","actinopterygii","Blacktip poacher"
"3112","NULL","actinopterygii","Smooth-eye poacher"
"3113","NULL","actinopterygii","Bluespotted poacher"
"3114","NULL","actinopterygii","Prowfish"
"3115","NULL","actinopterygii","Alaska snailfish"
"3116","NULL","actinopterygii","Red moki"
"3117","NULL","actinopterygii","Bastard trumpeter"
"3118","NULL","actinopterygii","Marblefish"
"3119","NULL","actinopterygii","Southern hulafish"
"3120","NULL","actinopterygii","Bigscale bullseye"
"3121","NULL","actinopterygii","Slender-spined porcupine fish"
"3122","NULL","actinopterygii","Mackerel icefish"
"3123","NULL","actinopterygii","Humped rockcod"
"3124","NULL","actinopterygii","Southen blue whiting"
"3125","NULL","actinopterygii","Marbled rockcod"
"3126","NULL","actinopterygii","Yellowfin notothen"
"3127","NULL","actinopterygii","South Georgia icefish"
"3128","NULL","actinopterygii","Polar cod / Arctic cod"
"3129","NULL","actinopterygii","White sea catfish"
"3130","NULL","actinopterygii","Mountain whitefish"
"3131","NULL","actinopterygii","Arawana"
"3132","NULL","actinopterygii","Longhorn sculpin"
"3133","NULL","actinopterygii","Spotted wolffish"
"3134","NULL","actinopterygii","Grass carp"
"3135","NULL","actinopterygii","Silvergray rockfish"
"3136","NULL","actinopterygii","Ocean pout"
"3137","NULL","actinopterygii","Canary rockfish"
"3138","NULL","actinopterygii","Longspine thornyhead"
"3139","NULL","actinopterygii","Yelloweye rockfish"
"3140","NULL","actinopterygii","Navaga"
"3141","NULL","actinopterygii","Redbanded rockfish"
"3142","NULL","actinopterygii","Yellowmouth rockfish"
"3143","NULL","actinopterygii","Darkblotched rockfish"
"3144","NULL","actinopterygii","Large yellow croaker"
"3145","NULL","actinopterygii","Blackspotted croaker"
"3146","NULL","actinopterygii","White pomfret / Silver pomfret"
"3147","NULL","actinopterygii","Broadbanded thornyhead"
"3148","NULL","actinopterygii","Spotted cachorro"
"3149","NULL","actinopterygii","Lizard fish"
"3150","NULL","actinopterygii","Pike characin"
"3151","NULL","actinopterygii","Twospot astyanax"
"3152","NULL","actinopterygii","Orangefin tetra"
"3153","NULL","actinopterygii","Tailspot tetra"
"3154","NULL","actinopterygii","Barred hemiodus"
"3155","NULL","actinopterygii","Trahira / Wolf fish"
"3156","NULL","actinopterygii","Banded leporinus"
"3157","NULL","actinopterygii","Threespot leporinus"
"3158","NULL","actinopterygii","Cocosoda catfish"
"3159","NULL","actinopterygii","Glass knifefish"
"3160","NULL","actinopterygii","Longtail knifefish"
"3161","NULL","actinopterygii","Redstriped eartheater"
"3162","NULL","actinopterygii","Cook's cardinalfish"
"3163","NULL","actinopterygii","Short-tooth cardinal"
"3164","NULL","actinopterygii","Midget chromis"
"3165","NULL","actinopterygii","Parana scale-eating characin"
"3166","NULL","actinopterygii","Speckled damselfish"
"3167","NULL","actinopterygii","Neon damselfish"
"3168","NULL","actinopterygii","Blackbar devil"
"3169","NULL","actinopterygii","Copperstriped cardinalfish"
"3170","NULL","actinopterygii","Southwest Atlantic butterfish"
"3171","NULL","actinopterygii","Smalltooth flounder"
"3172","NULL","actinopterygii","Longtail southern cod"
"3173","NULL","actinopterygii","Australian herring"
"3174","NULL","actinopterygii","Yellowtail trumpeter"
"3175","NULL","actinopterygii","Yellowfin whiting"
"3176","NULL","actinopterygii","Blackhand sole"
"3177","NULL","actinopterygii","Opossum pipefish"
"3178","NULL","actinopterygii","Molly"
"3179","NULL","actinopterygii","Northern rockfish"
"3180","NULL","actinopterygii","Shortraker rockfish"
"3181","NULL","actinopterygii","Pacific grenadier"
"3182","NULL","actinopterygii","Popeye grenadier"
"3183","NULL","actinopterygii","Indo-Pacific blue marlin"
"3184","NULL","actinopterygii","Plain sculpin"
"3185","NULL","actinopterygii","Great sculpin"
"3186","NULL","actinopterygii","Yellow Irish lord"
"3187","NULL","actinopterygii","Cutthroat trout"
"3188","NULL","actinopterygii","Black-axil chromis"
"3189","NULL","actinopterygii","Ternate chromis"
"3190","NULL","actinopterygii","Weber's chromis"
"3191","NULL","actinopterygii","Southern red snapper"
"3192","NULL","actinopterygii","Rolland's demoiselle"
"3193","NULL","actinopterygii","Reticulate dascyllus"
"3194","NULL","actinopterygii","Honey-head damsel"
"3195","NULL","actinopterygii","Black-and-gold chromis"
"3196","NULL","actinopterygii","Yellowtail demoiselle"
"3197","NULL","actinopterygii","Obscure damsel"
"3198","NULL","actinopterygii","Charcoal damsel"
"3199","NULL","actinopterygii","Bluespot damsel"
"3200","NULL","actinopterygii","Lemon damsel"
"3201","NULL","actinopterygii","Philippine damsel"
"3202","NULL","actinopterygii","Black seacatfish"
